time,position,velocity,acceleration
0.431233,0,0,0
0.43133,0,0,0
0.43135,0,0,0
0.431367,0,0,0
0.431383,0,0,0
0.431399,0,0,0
0.431418,0,0,0
0.431443,0,0,0
0.431467,0,0,0
0.431494,0,0,0
0.431512,0,0,0
0.443751,0,0,0
0.473775,0,0,0
0.503675,0,0,0
0.533745,0,0,0
0.563713,0,0,0
0.593782,0,0,0
0.623815,0,0,0
0.653872,0,0,0
0.683887,0,0,0
0.71373,0,0,0
0.74393,0,0,0
0.773712,0,0,0
0.803827,0,0,0
0.83375,0,0,0
0.863861,0,0,0
0.894008,0,0,0
0.923658,0,0,0
0.953755,0,0,0
0.983768,0,0,0
1.01393,0,0,0
1.04391,0,0,0
1.07395,0,0,0
1.10421,0,0,0
1.13378,0,0,0
1.16425,0,0,0
1.19387,0,0,0
1.22392,0,0,0
1.25376,0,0,0
1.28375,0,0,0
1.31377,0,0,0
1.344,0,0,0
1.37384,0,0,0
1.40377,0,0,0
1.43383,0,0,0
1.4638,0,0,0
1.49394,0,0,0
1.52392,0,0,0
1.55384,0,0,0
1.58376,0,0,0
1.61388,0,0,0
1.64387,0,0,0
1.674,0,0,0
1.70389,0,0,0
1.73392,0,0,0
1.7638,0,0,0
1.79387,0,0,0
1.82379,0,0,0
1.85421,0,0,0
1.8839,0,0,0
1.91388,0,0,0
1.94407,0,0,0
1.97399,0,0,0
2.00397,0,0,0
2.03383,0,0,0
2.06387,0,0,0
2.09417,0,0,0
2.12378,0,0,0
2.15388,0,0,0
2.1838,0,0,0
2.21374,0,0,0
2.24395,0,0,0
2.27383,0,0,0
2.30384,0,0,0
2.33383,0,0,0
2.36379,0,0,0
2.39373,0,0,0
2.4237,0,0,0
2.4537,0,0,0
2.48392,0,0,0
2.51383,0,0,0
2.54376,0,0,0
2.57396,0,0,0
2.60389,0,0,0
2.63384,0,0,0
2.66372,0,0,0
2.69389,0,0,0
2.72383,0,0,0
2.7541,0,0,0
2.78373,0,0,0
2.81395,0,0,0
2.84388,0,0,0
2.87395,0,0,0
2.90406,0,0,0
2.93379,0,0,0
2.96369,0,0,0
2.99385,0,0,0
3.02383,0,0,0
3.05386,0,0,0
3.08411,0,0,0
3.1141,0,0,0
3.14385,0,0,0
3.17371,0,0,0
3.20378,0,0,0
3.23384,0,0,0
3.26396,0,0,0
3.29375,0,0,0
3.3239,0,0,0
3.35368,0,0,0
3.38366,0,0,0
3.4138,0,0,0
3.44393,0,0,0
3.47364,0,0,0
3.50379,0,0,0
3.53398,0,0,0
3.56396,0,0,0
3.59388,0,0,0
3.62389,0,0,0
3.65398,0,0,0
3.68419,0,0,0
3.71385,0,0,0
3.74392,0,0,0
3.77391,0,0,0
3.80395,0,0,0
3.83318,2.65843e-05,0.000909369,0.0311068
3.83351,2.65843e-05,0,-2.74949
3.86386,2.65843e-05,0,0
3.8656,0.0724905,41.5134,23782.3
3.89436,0.0724905,0,-1443.5
3.89698,0.170691,37.5194,14335
3.92375,0.170691,0,-1401.83
3.92902,0.307852,26.0077,4931.43
3.95387,0.307852,0,-1046.7
3.96202,0.428315,14.7715,1811.33
3.98374,0.428315,0,-680.215
3.9929,0.519471,9.94421,1084.81
4.01371,0.519471,0,-478.066
4.02521,0.53283,1.16173,101.025
4.04405,0.53283,0,-61.6552
4.05735,0.526264,-0.493535,-37.0977
4.0741,0.526264,0,29.4725
4.08939,0.51687,-0.614304,-40.1714
4.10387,0.51687,0,42.415
4.12108,0.50193,-0.86838,-50.4712
4.13392,0.50193,0,67.6236
4.15321,0.495304,-0.343458,-17.804
4.16386,0.495304,0,32.2534
4.18582,0.495304,0,0
4.19415,0.495304,0,0
4.21771,0.495304,0,0
4.22373,0.495304,0,0
4.24997,0.495304,0,0
4.25373,0.495304,0,0
4.28107,0.495304,0,0
4.28371,0.495304,0,0
4.31368,0.495304,0,0
4.314,0.495304,0,0
4.34421,0.495304,0,0
4.34597,0.495304,0,0
4.37384,0.495304,0,0
4.378,0.495304,0,0
4.40394,0.495304,0,0
4.41011,0.495304,0,0
4.43388,0.495304,0,0
4.44177,0.495304,0,0
4.46383,0.495304,0,0
4.47404,0.495304,0,0
4.4938,0.495304,0,0
4.50527,0.495304,0,0
4.52381,0.495304,0,0
4.53777,0.495304,0,0
4.55394,0.495304,0,0
4.56949,0.495304,0,0
4.58378,0.495304,0,0
4.60226,0.495304,0,0
4.6138,0.495304,0,0
4.63384,0.495304,0,0
4.64372,0.495304,0,0
4.66584,0.495304,0,0
4.67387,0.495304,0,0
4.69742,0.495304,0,0
4.70367,0.495304,0,0
4.73012,0.495304,0,0
4.73379,0.495304,0,0
4.76177,0.495304,0,0
4.76349,0.495304,0,0
4.79327,0.495304,0,0
